Subset,Hyperparameter Combination,Type,Score
Subset 58,10,enhanced,4940
Subset 58,11,pure,4675
Subset 58,11,enhanced,4550
Subset 58,12,pure,5295
Subset 58,12,enhanced,5205
Subset 58,13,pure,4890
Subset 58,13,enhanced,4845
Subset 58,14,pure,4550
Subset 58,14,enhanced,4650
Subset 58,15,pure,5230
Subset 58,15,enhanced,5415
Subset 58,16,pure,5490
Subset 58,16,enhanced,5235
Subset 58,17,pure,5280
Subset 58,17,enhanced,5380
Subset 58,18,pure,5265
Subset 58,18,enhanced,5325
Subset 58,19,pure,5075
Subset 58,19,enhanced,4935
Subset 58,2,pure,5270
Subset 58,2,enhanced,5355
Subset 58,20,pure,4920
Subset 58,20,enhanced,4950
Subset 58,21,pure,5355
Subset 58,21,enhanced,5210
Subset 58,22,pure,4995
Subset 58,22,enhanced,4890
Subset 58,23,pure,4665
Subset 58,23,enhanced,4655
Subset 58,24,pure,5235
Subset 58,24,enhanced,5280
Subset 58,25,pure,4725
Subset 58,25,enhanced,4710
Subset 58,26,pure,4375
Subset 58,26,enhanced,4590
Subset 58,27,pure,5250
Subset 58,27,enhanced,5115
Subset 58,28,pure,4725
Subset 58,28,enhanced,4635
Subset 58,29,pure,4305
Subset 58,29,enhanced,4505
Subset 58,3,pure,5325
Subset 58,3,enhanced,5335
Subset 58,30,pure,5290
Subset 58,30,enhanced,5295
Subset 58,31,pure,5295
Subset 58,31,enhanced,5370
Subset 58,32,pure,5205
Subset 58,32,enhanced,5265
Subset 58,33,pure,5330
Subset 58,33,enhanced,5280
Subset 58,34,pure,5010
Subset 58,34,enhanced,4950
Subset 58,35,pure,4890
Subset 58,35,enhanced,4690
Subset 58,36,pure,5275
Subset 58,36,enhanced,5250
Subset 58,37,pure,4755
Subset 58,37,enhanced,4710
Subset 58,38,pure,4490
Subset 58,38,enhanced,4485
Subset 58,39,pure,5250
Subset 58,39,enhanced,5195
Subset 58,4,pure,5370
Subset 58,4,enhanced,5220
Subset 58,40,pure,4640
Subset 58,40,enhanced,4470
Subset 58,41,pure,4240
Subset 58,41,enhanced,4490
Subset 58,42,pure,5195
Subset 58,42,enhanced,5040
Subset 58,43,pure,4605
Subset 58,43,enhanced,4440
Subset 58,44,pure,4200
Subset 58,44,enhanced,4185
Subset 58,5,pure,5095
Subset 58,5,enhanced,5115
Subset 58,6,pure,5325
Subset 58,6,enhanced,5285
Subset 58,7,pure,5190
Subset 58,7,enhanced,4965
Subset 58,8,pure,4950
Subset 58,8,enhanced,4810
Subset 58,9,pure,5350
Subset 58,9,enhanced,5235
Subset 61,0,pure,5250
Subset 61,0,enhanced,5245
Subset 61,1,pure,5295
Subset 61,1,enhanced,5280
Subset 61,10,pure,4985
Subset 61,10,enhanced,4790
Subset 61,11,pure,4785
Subset 61,11,enhanced,4410
Subset 61,12,pure,5250
Subset 61,12,enhanced,5265
Subset 61,13,pure,4805
Subset 61,13,enhanced,4620
Subset 61,14,pure,4650
Subset 61,14,enhanced,4515
Subset 61,15,pure,5280
Subset 61,15,enhanced,5355
Subset 61,16,pure,5310
Subset 61,16,enhanced,5370
Subset 61,17,pure,5090
Subset 61,17,enhanced,5190
Subset 61,18,pure,5290
Subset 61,18,enhanced,5405
Subset 61,19,pure,5090
Subset 61,19,enhanced,4900
Subset 61,2,pure,5205
Subset 61,2,enhanced,5345
Subset 61,20,pure,4935
Subset 61,20,enhanced,4855
Subset 61,21,pure,5235
Subset 61,21,enhanced,5305
Subset 61,22,pure,5010
Subset 61,22,enhanced,4650
Subset 61,23,pure,4745
Subset 61,23,enhanced,4665
Subset 61,24,pure,5190
Subset 61,24,enhanced,5205
Subset 61,25,pure,4740
Subset 61,25,enhanced,4560
Subset 61,26,pure,4500
Subset 61,26,enhanced,4365
Subset 61,27,pure,5135
Subset 61,27,enhanced,5180
Subset 61,28,pure,4590
Subset 61,28,enhanced,4550
Subset 61,29,pure,4380
Subset 61,29,enhanced,4205
Subset 61,3,pure,5265
Subset 61,3,enhanced,5385
Subset 61,30,pure,5235
Subset 61,30,enhanced,5400
Subset 61,31,pure,5325
Subset 61,31,enhanced,5295
Subset 61,32,pure,5085
Subset 61,32,enhanced,5055
Subset 61,33,pure,5255
Subset 61,33,enhanced,5325
Subset 61,34,pure,5010
Subset 61,34,enhanced,4725
Subset 61,35,pure,4725
Subset 61,35,enhanced,4595
Subset 61,36,pure,5255
Subset 61,36,enhanced,5255
Subset 61,37,pure,4905
Subset 61,37,enhanced,4565
Subset 61,38,pure,4505
Subset 61,38,enhanced,4375
Subset 61,39,pure,5130
Subset 61,39,enhanced,5190
Subset 61,4,pure,5170
Subset 61,4,enhanced,5235
Subset 61,40,pure,4545
Subset 61,40,enhanced,4485
Subset 61,41,pure,4405
Subset 61,41,enhanced,4110
Subset 61,42,pure,5145
Subset 61,42,enhanced,5165
Subset 61,43,pure,4560
Subset 61,43,enhanced,4280
Subset 61,44,pure,4260
Subset 61,44,enhanced,3930
Subset 61,5,pure,5000
Subset 61,5,enhanced,4920
Subset 61,6,pure,5295
Subset 61,6,enhanced,5310
Subset 61,7,pure,5045
Subset 61,7,enhanced,5075
Subset 61,8,pure,4905
Subset 61,8,enhanced,4730
Subset 61,9,pure,5240
Subset 61,9,enhanced,5315
